# pathological corpus v0.1.0
# One entry per line. Invisible characters appear as \uXXXX escapes.
# Format: <path>\t<id> [category]
# Generated by scripts/build-corpus.js — do not edit by hand.

# unicode-normalization
café.txt	unicode-normalization-01
café.txt	unicode-normalization-02
naïve.md	unicode-normalization-03
naïve.md	unicode-normalization-04
resumé.pdf	unicode-normalization-05
resumé.pdf	unicode-normalization-06
jalapeño.txt	unicode-normalization-07
jalapeño.txt	unicode-normalization-08
Grüße.txt	unicode-normalization-09
Grübe.txt	unicode-normalization-10
ångström.txt	unicode-normalization-11
ängström.txt	unicode-normalization-12
ﬁle.txt	unicode-normalization-13
file.txt	unicode-normalization-14
ⅩI.txt	unicode-normalization-15
XII.txt	unicode-normalization-16

# combining-marks
ärchive.txt	combining-marks-01
évent.log	combining-marks-02
x̸fail.txt	combining-marks-03
A⃝ot.txt	combining-marks-04
ọption.txt	combining-marks-05
Z̶a̷l͡g͛o̖.txt	combining-marks-06
çédule.txt	combining-marks-07
é́rror.txt	combining-marks-08

# emoji-zwj
👨\u200D👩\u200D👧.txt	emoji-zwj-01
🏳️\u200D🌈.txt	emoji-zwj-02
🇲🇽.txt	emoji-zwj-03
👍🏽.txt	emoji-zwj-04
1️⃣.txt	emoji-zwj-05
👨🏻\u200D💻.txt	emoji-zwj-06
❤️\u200D🔥.txt	emoji-zwj-07
💩.txt	emoji-zwj-08

# bidi-rtl
file\u202Ename.txt	bidi-rtl-01
\u200Fstart.txt	bidi-rtl-02
שלום.txt	bidi-rtl-03
مرحبا.txt	bidi-rtl-04
a\u202Db\u202Ec.txt	bidi-rtl-05
name\u2066LRI\u2069.txt	bidi-rtl-06
tail\u200F.txt	bidi-rtl-07
٣٥٩.txt	bidi-rtl-08

# control-chars
li\u000Ane.txt	control-chars-01
ta\u0009b.txt	control-chars-02
es\u001Bc.txt	control-chars-03
de\u007Fl.txt	control-chars-04
c1\u009B.txt	control-chars-05
cr\u000Dname.txt	control-chars-06
vt\u000Bname.txt	control-chars-07
ff\u000Cname.txt	control-chars-08

# bom-invisibles
\uFEFFbom.txt	bom-invisibles-01
zw\u200Bsp.txt	bom-invisibles-02
zero\u200Cwidth\u200Djoin.txt	bom-invisibles-03
wj\u2060.txt	bom-invisibles-04
it\u2062times.txt	bom-invisibles-05
sep\u2063rated.txt	bom-invisibles-06
mid\uFEFFbom.txt	bom-invisibles-07
᠎separator.txt	bom-invisibles-08

# windows-reserved
CON	windows-reserved-01
PRN	windows-reserved-02
AUX	windows-reserved-03
NUL.dll	windows-reserved-04
COM1.txt	windows-reserved-05
COM9	windows-reserved-06
LPT1	windows-reserved-07
LPT2.out	windows-reserved-08
CON.tar.gz	windows-reserved-09
aux.d	windows-reserved-10
nul.txt	windows-reserved-11
clock$.txt	windows-reserved-12

# trailing-separators
file. 	trailing-separators-01
file..	trailing-separators-02
dir .	trailing-separators-03
trail 	trailing-separators-04
sp ace. ..	trailing-separators-05
ends...	trailing-separators-06

# separator-lookalikes
a:b.txt	separator-lookalikes-01
C:\drive.txt	separator-lookalikes-02
\leading.txt	separator-lookalikes-03
a\b\c.txt	separator-lookalikes-04
a:b:c.txt	separator-lookalikes-05
⧸slash.txt	separator-lookalikes-06
／fullwidth-slash.txt	separator-lookalikes-07
﹨small-backslash.txt	separator-lookalikes-08

# length-limits
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.txt	length-limits-01
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa	length-limits-02
